source;source_type;source_code;genus;species;common_name;type;count;date;period;town;country;number;sampling_allowed;notes;
National Museum Ireland (NMI);email;NMI;Stenella;coeruleoalba;Striped dolphin;skeleton;;1898;NA;Portsalon;Ireland;NH:1898.125.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Stenella;coeruleoalba;Striped dolphin;skeleton;;NA;recent stranding;Raghly;Ireland;NH:1999.16.1;NA;head bones only?;
National Museum Ireland (NMI);email;NMI;Stenella;coeruleoalba;Striped dolphin;skeleton;;NA;NA;Portsalon;Ireland;NH:1898.125.2;NA;think its the same specimen als Portsalon above;
National Museum Ireland (NMI);email;NMI;Stenella;coeruleoalba;Striped dolphin;skeleton;;1864;NA;;NA;NH:2007.10.7;NA;date unsure;
National Museum Ireland (NMI);email;NMI;Steno;Bredanensis;Rough-toothed dolphin;skeleton;;NA;NA;;NA;NH:2008.85.132;NA;NA;
National Museum Ireland (NMI);email;NMI;Steno;Bredanensis;Rough-toothed dolphin;skeleton;;NA;NA;;NA;NH:2008.85.146;NA;NA;
National Museum Ireland (NMI);email;NMI;Tursiops;truncatus;Bottlenose dolphin;skeleton;;1905;recent bycatch;River Liffrey;Ireland;NH:1905.88.2;NA;NA;
National Museum Ireland (NMI);email;NMI;Tursiops;truncatus;Bottlenose dolphin;skeleton;;1905;recent bycatch;River Liffrey;Ireland;NH:1905.88.3;NA;NA;
National Museum Ireland (NMI);email;NMI;Tursiops;truncatus;Bottlenose dolphin;skeleton;;1933;NA;Cartron Bay;Ireland;NH:1933.67.2;NA;probably recent;
National Museum Ireland (NMI);email;NMI;Tursiops;truncatus;Bottlenose dolphin;skeleton;;1933;recent stranding;Cartron Bay;Ireland;NH:1933.67.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Tursiops;truncatus;Bottlenose dolphin;skeleton;;NA;recent stranding;Carrigaholt;Ireland;NH:1999.17.1;NA;only head bones?;
National Museum Ireland (NMI);email;NMI;Tursiops;truncatus;Bottlenose dolphin;tooth;1;NA;NA;;NA;NH:2008.85.698;NA;NA;
National Museum Ireland (NMI);email;NMI;Tursiops;truncatus;Bottlenose dolphin;skeleton;;1933;recent stranding;Cartron Bay;Ireland;NH:1933.67.3;NA;NA;
Museum of Zoology Cambridge (CMZ);email;MZC;Odontocetus undet.;NA;NA;skull;;NA;fossil;;NA;UMZC M.545;NA;fossil, ND species;
Museum of Zoology Cambridge (CMZ);email;MZC;Phocoena;phocoena;Harbor porpoise;skull;;NA;fossil;;NA;UMZC C.87.F;NA;fossil;
Museum of Zoology Cambridge (CMZ);database;MZC;Pseudorca;crassidens;False killer whale;NA;;NA;fossil;;NA;UMZC C.99;NA;NA;
Great North Museum (GNM);email;GNM;NA;NA;NA;tooth;1;NA;Early Pleistocene;Sutton;United Kingdom;NA;NA;undetermined whale species;
Natuurmuseum Brabant (NMB);email;NMB;Delphinus;NA;NA;skeleton;;NA;recent;;NA;NA;NA;Potviszaal;
Natuurmuseum Brabant (NMB);email;NMB;Delphinus;NA;NA;skeleton;;NA;recent;;NA;NA;NA;depot 1;
Natuurmuseum Brabant (NMB);email;NMB;Delphinus;NA;NA;skull;;NA;recent;;NA;1347;NA;depot 1, doos 2;
Natuurmuseum Brabant (NMB);email;NMB;Delphinus;NA;NA;jaw;;NA;recent;;NA;75990;NA;depot 1, doos 2;
Natuurmuseum Brabant (NMB);email;NMB;Delphinus;NA;NA;jaw;;NA;recent;;NA;5642;NA;depot 1, doos 2;
Natuurmuseum Brabant (NMB);email;NMB;Phocoena;phocoena;NA;jaw;;NA;recent;;NA;32875;NA;depot 1, doos 2;
Natuurmuseum Brabant (NMB);email;NMB;Physeter;macrocephalus;Sperm whale;skeleton;;NA;recent;;NA;NA;NA;Potviszaal;
Natuurmuseum Brabant (NMB);email;NMB;Physeter;macrocephalus;Sperm whale;tooth;1;NA;Mioceen;;NA;42900;NA;depot C;
Natuurmuseum Brabant (NMB);email;NMB;Physeter;macrocephalus;NA;tooth;1;NA;recent;;NA;5644;NA;depot 1, doos;
Natuurmuseum Brabant (NMB);email;NMB;Physeter;macrocephalus;NA;tooth;1;NA;recent;;NA;5645;NA;depot 1, doos;
Natuurmuseum Brabant (NMB);email;NMB;Physeter;macrocephalus;NA;tooth;1;NA;recent;;NA;32873;NA;depot 1, doos;
Natuurmuseum Brabant (NMB);email;NMB;Physeter;macrocephalus;NA;tooth;1;NA;recent;;NA;33734;NA;depot 1, doos;
Natuurmuseum Brabant (NMB);email;NMB;Scaldicetus;NA;NA;tooth;1;NA;Mioceen;;NA;52977;NA;depot C;
Natuurmuseum Brabant (NMB);email;NMB;Squalodon;NA;NA;tooth;1;NA;Mioceen;;NA;42412;NA;depot C;
Natural History Museum Denmark (NMD);email;NHMD;Lagenorhynchus;albirostris;White-sided dolphin;teeth;2;NA;Mesolithic;Helgenæs;Denmark;41/2000;NA;"subfossil; two teeth";
Natural History Museum Denmark (NMD);email;NHMD;Orcinus;orca;Orca;teeth;;NA;NA;;NA;NA;NA;various ages (including subfossil), but did not include here because of objection for orca in project;
Natural History Museum Denmark (NMD);email;NHMD;Phocoena;phocoena;Harbor porpoise;teeth;4;1939;recent;Rudkøbing;Denmark;21/1939;NA;4 small teeth;
